,steer,nombre,vitesse
0,0.0,25272.0,2.0
1,0.0,25273.0,5.0
2,0.0,25274.0,7.0
3,0.0,25275.0,8.0
4,0.0,25276.0,10.0
5,0.0,25277.0,12.0
6,0.0,25278.0,13.0
7,0.0,25279.0,15.0
8,0.0,25281.0,17.0
9,0.0,25280.0,19.0
10,0.0,25282.0,20.0
11,0.0,25283.0,22.0
12,0.0,25285.0,23.0
13,0.0,25284.0,22.0
14,0.0,25286.0,23.0
15,0.0,25288.0,24.0
16,0.0,25287.0,24.0
17,0.0,25289.0,25.0
18,0.0,25290.0,25.0
19,0.0,25291.0,25.0
20,0.0,25292.0,25.0
21,0.0,25293.0,25.0
22,0.0,25294.0,25.0
23,0.0,25296.0,25.0
24,0.0,25295.0,25.0
25,0.0,25297.0,25.0
26,0.0,25298.0,25.0
27,0.0,25299.0,25.0
28,0.0,25300.0,25.0
29,0.0,25301.0,24.0
30,0.0,25302.0,24.0
31,0.0,25303.0,24.0
32,0.0,25304.0,24.0
33,0.0,25305.0,24.0
34,0.0,25306.0,23.0
35,0.0,25307.0,23.0
36,0.0,25308.0,23.0
37,0.0,25309.0,23.0
38,0.0,25310.0,22.0
39,16.72,25311.0,22.0
40,17.88,25312.0,22.0
41,17.32,25313.0,22.0
42,16.02,25314.0,21.0
43,19.09,25315.0,21.0
44,17.71,25317.0,21.0
45,19.09,25316.0,21.0
46,16.04,25318.0,21.0
47,14.41,25319.0,20.0
48,12.92,25320.0,20.0
49,18.7,25322.0,20.0
50,19.86,25321.0,20.0
51,17.06,25323.0,20.0
52,13.79,25324.0,21.0
53,13.79,25325.0,21.0
54,12.29,25326.0,21.0
55,20.68,25327.0,22.0
56,19.54,25328.0,22.0
57,17.72,25329.0,22.0
58,15.81,25330.0,22.0
59,14.02,25331.0,22.0
60,21.54,25332.0,22.0
61,18.28,25334.0,22.0
62,18.28,25333.0,22.0
63,16.34,25335.0,22.0
64,14.55,25336.0,21.0
65,17.04,25337.0,21.0
66,15.54,25338.0,21.0
67,13.93,25339.0,21.0
68,12.4,25340.0,21.0
69,11.02,25341.0,21.0
70,9.0,25342.0,20.0
71,7.85,25343.0,20.0
72,6.89,25344.0,20.0
73,6.08,25345.0,20.0
74,5.37,25346.0,20.0
75,4.32,25347.0,20.0
76,3.74,25348.0,21.0
77,3.25,25349.0,22.0
78,2.82,25350.0,22.0
79,4.3,25351.0,22.0
80,4.3,25352.0,22.0
81,3.99,25353.0,22.0
82,3.1,25354.0,22.0
83,3.1,25355.0,22.0
84,2.34,25356.0,22.0
85,2.34,25357.0,22.0
86,5.76,25358.0,22.0
87,5.23,25359.0,21.0
88,5.23,25360.0,21.0
89,4.64,25361.0,21.0
90,4.09,25362.0,21.0
91,8.07,25363.0,21.0
92,7.63,25364.0,21.0
93,6.9,25365.0,21.0
94,6.14,25366.0,20.0
95,5.44,25367.0,20.0
96,9.23,25369.0,20.0
97,4.81,25368.0,20.0
98,8.73,25370.0,20.0
99,7.92,25371.0,20.0
100,7.06,25372.0,21.0
101,6.23,25373.0,21.0
102,5.47,25374.0,22.0
103,9.99,25375.0,22.0
104,9.39,25376.0,22.0
105,8.43,25377.0,22.0
106,6.53,25379.0,22.0
107,6.53,25378.0,22.0
108,8.51,25380.0,22.0
109,7.88,25381.0,22.0
110,7.09,25382.0,22.0
111,0.0,25383.0,22.0
112,11.76,25384.0,21.0
113,12.09,25385.0,21.0
114,11.4,25386.0,21.0
115,10.38,25387.0,21.0
116,9.34,25388.0,21.0
117,11.66,25389.0,20.0
118,10.74,25390.0,20.0
119,9.67,25391.0,20.0
120,8.64,25392.0,20.0
121,7.71,25393.0,20.0
122,9.34,25394.0,20.0
123,8.55,25395.0,20.0
124,7.65,25396.0,21.0
125,5.95,25397.0,22.0
126,5.22,25398.0,22.0
127,7.04,25399.0,22.0
128,7.04,25400.0,22.0
129,6.46,25401.0,22.0
130,5.74,25402.0,22.0
131,5.05,25403.0,22.0
132,4.42,25404.0,22.0
133,6.23,25405.0,22.0
134,5.76,25406.0,22.0
135,5.15,25407.0,22.0
136,4.56,25408.0,21.0
137,4.01,25409.0,21.0
138,5.83,25410.0,21.0
139,5.41,25411.0,21.0
140,4.86,25412.0,21.0
141,4.31,25413.0,20.0
142,3.82,25414.0,20.0
143,5.64,25415.0,20.0
144,5.24,25416.0,20.0
145,4.72,25417.0,20.0
146,4.21,25418.0,20.0
147,3.73,25419.0,20.0
148,3.29,25420.0,21.0
149,5.33,25421.0,21.0
150,4.96,25422.0,22.0
151,4.43,25423.0,22.0
152,3.9,25424.0,22.0
153,3.4,25425.0,22.0
154,3.2,25426.0,22.0
155,4.78,25428.0,22.0
156,5.11,25427.0,22.0
157,4.3,25429.0,22.0
158,3.81,25430.0,22.0
159,3.35,25431.0,22.0
160,3.85,25432.0,21.0
161,3.48,25433.0,21.0
162,3.09,25434.0,21.0
163,2.72,25435.0,21.0
164,2.4,25436.0,21.0
165,2.34,25437.0,21.0
166,2.08,25438.0,20.0
167,1.84,25439.0,20.0
168,1.42,25440.0,20.0
169,1.42,25441.0,20.0
170,1.31,25442.0,20.0
171,1.16,25443.0,20.0
172,1.01,25444.0,21.0
173,0.88,25445.0,21.0
174,0.76,25446.0,22.0
175,0.67,25447.0,22.0
176,0.58,25448.0,22.0
177,0.5,25449.0,22.0
178,0.43,25450.0,22.0
179,0.37,25451.0,22.0
180,0.32,25452.0,22.0
181,0.28,25453.0,22.0
182,0.2,25454.0,22.0
183,0.2,25455.0,22.0
184,0.17,25456.0,21.0
185,0.15,25457.0,21.0
186,0.13,25458.0,21.0
187,0.11,25459.0,21.0
188,0.1,25460.0,21.0
189,0.08,25461.0,21.0
190,0.07,25462.0,20.0
191,0.06,25463.0,20.0
192,0.06,25464.0,20.0
193,0.05,25465.0,20.0
194,0.04,25466.0,20.0
195,0.03,25468.0,20.0
196,0.03,25467.0,20.0
197,0.02,25469.0,21.0
198,0.01,25470.0,22.0
199,0.0,25472.0,22.0
200,0.0,25471.0,22.0
201,0.01,25473.0,22.0
202,0.01,25474.0,22.0
203,0.0,25475.0,22.0
204,0.01,25476.0,22.0
205,0.01,25478.0,22.0
206,0.01,25477.0,22.0
207,0.01,25479.0,22.0
208,0.01,25481.0,21.0
209,0.01,25480.0,22.0
210,0.0,25482.0,21.0
211,0.01,25483.0,21.0
212,0.01,25484.0,21.0
213,0.01,25485.0,21.0
214,0.01,25486.0,20.0
215,0.01,25487.0,20.0
216,0.01,25488.0,20.0
217,0.01,25489.0,20.0
218,0.01,25490.0,20.0
219,0.0,25491.0,20.0
220,-0.01,25493.0,21.0
221,-0.0,25492.0,20.0
222,-0.01,25495.0,22.0
223,-0.01,25494.0,22.0
224,-0.01,25496.0,22.0
225,-0.01,25497.0,22.0
226,-0.01,25498.0,22.0
227,0.0,25500.0,22.0
228,-0.0,25499.0,22.0
229,0.01,25501.0,22.0
230,0.01,25503.0,22.0
231,0.01,25502.0,22.0
232,0.01,25504.0,22.0
233,0.01,25505.0,21.0
234,0.0,25506.0,21.0
235,0.0,25507.0,21.0
236,0.0,25508.0,21.0
237,0.01,25509.0,21.0
238,0.01,25510.0,21.0
239,0.01,25511.0,20.0
240,0.0,25512.0,20.0
241,0.0,25513.0,20.0
242,0.01,25514.0,20.0
243,0.01,25515.0,20.0
244,0.0,25516.0,20.0
245,-0.01,25518.0,21.0
246,-0.01,25517.0,21.0
247,-0.01,25519.0,22.0
248,-0.01,25520.0,22.0
249,-0.01,25522.0,22.0
250,-0.01,25521.0,22.0
251,-0.0,25523.0,22.0
252,0.01,25524.0,22.0
253,0.01,25525.0,22.0
254,0.01,25526.0,22.0
255,0.01,25527.0,22.0
256,0.0,25528.0,22.0
257,0.01,25529.0,22.0
258,0.01,25530.0,21.0
259,0.01,25531.0,21.0
260,0.0,25532.0,21.0
261,0.0,25533.0,21.0
262,0.01,25534.0,21.0
263,0.01,25535.0,20.0
264,0.01,25536.0,20.0
265,0.0,25537.0,20.0
266,0.01,25539.0,20.0
267,0.01,25538.0,20.0
268,0.01,25540.0,20.0
269,-0.01,25543.0,21.0
270,-0.01,25542.0,21.0
271,-0.01,25544.0,22.0
272,-0.01,25545.0,22.0
273,-0.01,25546.0,22.0
274,-0.0,25547.0,22.0
275,-0.0,25548.0,22.0
276,-0.0,25549.0,22.0
277,0.01,25550.0,22.0
278,0.01,25551.0,22.0
279,0.01,25552.0,22.0
280,0.0,25553.0,22.0
281,0.01,25555.0,21.0
282,0.0,25554.0,21.0
283,0.01,25556.0,21.0
284,0.01,25557.0,21.0
285,0.0,25558.0,21.0
286,0.0,25559.0,20.0
287,0.01,25560.0,20.0
288,0.01,25561.0,20.0
289,0.01,25562.0,20.0
290,0.0,25564.0,20.0
291,0.01,25563.0,20.0
292,0.01,25565.0,20.0
293,-0.0,25566.0,21.0
294,-0.01,25567.0,21.0
295,-0.01,25568.0,22.0
296,-0.01,25569.0,22.0
297,-0.0,25570.0,22.0
298,-0.0,25571.0,22.0
299,0.0,25574.0,22.0
300,0.0,25573.0,22.0
301,-0.0,25572.0,22.0
302,0.01,25575.0,22.0
303,0.01,25576.0,22.0
304,0.01,25577.0,22.0
305,0.0,25579.0,21.0
306,0.0,25578.0,21.0
307,0.01,25580.0,21.0
308,0.01,25581.0,21.0
309,0.01,25582.0,21.0
310,0.0,25583.0,21.0
311,0.0,25584.0,20.0
312,0.01,25585.0,20.0
313,0.01,25586.0,20.0
314,0.0,25587.0,20.0
315,0.0,25588.0,20.0
316,-0.01,25589.0,21.0
317,-0.01,25590.0,21.0
318,-0.01,25591.0,21.0
319,-0.01,25592.0,22.0
320,-0.01,25593.0,22.0
321,-0.01,25594.0,22.0
322,-0.01,25595.0,22.0
323,0.0,25597.0,22.0
324,-0.0,25596.0,22.0
325,0.01,25598.0,22.0
326,0.0,25600.0,22.0
327,0.01,25599.0,22.0
328,0.01,25601.0,22.0
329,0.01,25602.0,22.0
330,0.01,25603.0,21.0
331,0.0,25604.0,21.0
332,0.01,25605.0,21.0
333,0.01,25606.0,21.0
334,0.01,25607.0,21.0
335,0.0,25609.0,20.0
336,0.0,25608.0,20.0
337,0.0,25610.0,20.0
338,0.01,25611.0,20.0
339,0.01,25612.0,20.0
340,0.01,25613.0,20.0
341,0.0,25614.0,20.0
342,-0.01,25616.0,22.0
343,-0.01,25617.0,22.0
344,-0.01,25615.0,21.0
345,-0.01,25618.0,22.0
346,-0.01,25620.0,22.0
347,-0.01,25619.0,22.0
348,-0.0,25621.0,22.0
349,0.01,25622.0,22.0
350,0.01,25623.0,22.0
351,0.0,25624.0,22.0
352,0.0,25625.0,22.0
353,0.01,25626.0,21.0
354,0.01,25628.0,21.0
355,0.01,25627.0,21.0
356,0.0,25629.0,21.0
357,0.0,25630.0,21.0
358,0.01,25631.0,21.0
359,0.01,25632.0,20.0
360,0.01,25633.0,19.0
361,0.04,25634.0,15.0
362,-0.16,25636.0,7.0
363,-0.16,25637.0,3.0
364,-0.1,25635.0,7.0
365,-0.1,25718.0,1.0
366,-0.09,25722.0,6.0
367,-0.09,25719.0,3.0
368,-0.09,25721.0,5.0
369,-0.09,25720.0,4.0
370,-0.09,25723.0,8.0
371,-0.09,25724.0,8.0
372,-0.08,25725.0,11.0
373,-0.08,25727.0,12.0
374,-0.08,25726.0,11.0
375,-0.07,25728.0,14.0
376,-0.07,25729.0,14.0
377,-0.07,25730.0,15.0
378,0.0,25732.0,17.0
379,0.0,25731.0,17.0
380,-5.07,25734.0,19.0
381,-5.07,25733.0,19.0
382,-4.68,25735.0,20.0
383,-4.2,25736.0,21.0
384,-3.25,25738.0,22.0
385,-3.71,25737.0,22.0
386,-15.35,25739.0,23.0
387,-14.29,25740.0,23.0
388,-14.29,25741.0,23.0
389,-11.35,25742.0,24.0
390,-11.35,25743.0,24.0
391,-23.17,25745.0,23.0
392,-23.17,25744.0,23.0
393,-21.33,25746.0,23.0
394,-19.15,25747.0,23.0
395,-29.2,25749.0,23.0
396,-17.05,25748.0,23.0
397,-25.56,25750.0,22.0
398,-20.63,25753.0,22.0
399,-23.03,25751.0,22.0
400,-20.63,25752.0,22.0
401,-30.51,25754.0,21.0
402,-27.92,25755.0,21.0
403,-25.21,25757.0,21.0
404,-27.92,25756.0,21.0
405,-22.67,25758.0,21.0
406,-28.96,25760.0,20.0
407,-28.96,25759.0,20.0
408,-24.84,25761.0,20.0
409,-24.84,25762.0,20.0
410,-22.46,25763.0,21.0
411,-20.21,25764.0,21.0
