steer,nombre,vitesse
0.00,25251, 0
0.00,25252, 0
0.00,25253, 0
0.00,25254, 0
0.00,25255, 0
0.00,25256, 0
0.00,25257, 0
0.00,25258, 0
0.00,25259, 0
0.00,25260, 0
0.00,25262, 0
0.00,25261, 0
0.00,25263, 0
0.00,25264, 0
0.00,25265, 0
0.00,25266, 0
0.00,25267, 0
0.00,25268, 0
0.00,25269, 0
0.00,25271, 0
0.00,25272, 2
0.00,25273, 5
0.00,25274, 7
0.00,25275, 8
0.00,25276,10
0.00,25277,12
0.00,25278,13
0.00,25279,15
0.00,25281,17
0.00,25280,19
0.00,25282,20
0.00,25283,22
0.00,25285,23
0.00,25284,22
0.00,25286,23
0.00,25288,24
0.00,25287,24
0.00,25289,25
0.00,25290,25
0.00,25291,25
0.00,25292,25
0.00,25293,25
0.00,25294,25
0.00,25296,25
0.00,25295,25
0.00,25297,25
0.00,25298,25
0.00,25299,25
0.00,25300,25
0.00,25301,24
0.00,25302,24
0.00,25303,24
0.00,25304,24
0.00,25305,24
0.00,25306,23
0.00,25307,23
0.00,25308,23
0.00,25309,23
0.00,25310,22
16.72,25311,22
17.88,25312,22
17.32,25313,22
16.02,25314,21
19.09,25315,21
17.71,25317,21
19.09,25316,21
16.04,25318,21
14.41,25319,20
12.92,25320,20
18.70,25322,20
19.86,25321,20
17.06,25323,20
13.79,25324,21
13.79,25325,21
12.29,25326,21
20.68,25327,22
19.54,25328,22
17.72,25329,22
15.81,25330,22
14.02,25331,22
21.54,25332,22
18.28,25334,22
18.28,25333,22
16.34,25335,22
14.55,25336,21
17.04,25337,21
15.54,25338,21
13.93,25339,21
12.40,25340,21
11.02,25341,21
9.00,25342,20
7.85,25343,20
6.89,25344,20
6.08,25345,20
5.37,25346,20
4.32,25347,20
3.74,25348,21
3.25,25349,22
2.82,25350,22
4.30,25351,22
4.30,25352,22
3.99,25353,22
3.10,25354,22
3.10,25355,22
2.34,25356,22
2.34,25357,22
5.76,25358,22
5.23,25359,21
5.23,25360,21
4.64,25361,21
4.09,25362,21
8.07,25363,21
7.63,25364,21
6.90,25365,21
6.14,25366,20
5.44,25367,20
9.23,25369,20
4.81,25368,20
8.73,25370,20
7.92,25371,20
7.06,25372,21
6.23,25373,21
5.47,25374,22
9.99,25375,22
9.39,25376,22
8.43,25377,22
6.53,25379,22
6.53,25378,22
8.51,25380,22
7.88,25381,22
7.09,25382,22
0.00,25383,22
11.76,25384,21
12.09,25385,21
11.40,25386,21
10.38,25387,21
9.34,25388,21
11.66,25389,20
10.74,25390,20
9.67,25391,20
8.64,25392,20
7.71,25393,20
9.34,25394,20
8.55,25395,20
7.65,25396,21
5.95,25397,22
5.22,25398,22
7.04,25399,22
7.04,25400,22
6.46,25401,22
5.74,25402,22
5.05,25403,22
4.42,25404,22
6.23,25405,22
5.76,25406,22
5.15,25407,22
4.56,25408,21
4.01,25409,21
5.83,25410,21
5.41,25411,21
4.86,25412,21
4.31,25413,20
3.82,25414,20
5.64,25415,20
5.24,25416,20
4.72,25417,20
4.21,25418,20
3.73,25419,20
3.29,25420,21
5.33,25421,21
4.96,25422,22
4.43,25423,22
3.90,25424,22
3.40,25425,22
3.20,25426,22
4.78,25428,22
5.11,25427,22
4.30,25429,22
3.81,25430,22
3.35,25431,22
3.85,25432,21
3.48,25433,21
3.09,25434,21
2.72,25435,21
2.40,25436,21
2.34,25437,21
2.08,25438,20
1.84,25439,20
1.42,25440,20
1.42,25441,20
1.31,25442,20
1.16,25443,20
1.01,25444,21
0.88,25445,21
0.76,25446,22
0.67,25447,22
0.58,25448,22
0.50,25449,22
0.43,25450,22
0.37,25451,22
