,steer,nombre
25752,-5.95,59170.0
29390,14.53,62808.0
10735,-3.84,41519.0
7914,-0.0,36524.0
11734,10.45,43925.0
24635,-9.67,58053.0
17461,8.94,50879.0
21885,-6.42,55303.0
10685,-8.62,41469.0
31666,8.23,65084.0
3258,-0.02,30300.0
8056,0.01,36667.0
14858,-0.0,47515.0
25894,-8.49,59312.0
20931,12.49,54349.0
9640,0.0,39017.0
1050,-0.02,27255.0
26533,6.09,59951.0
15834,-0.0,49098.0
19059,-65.93,52477.0
22122,7.0,55540.0
11703,8.83,43895.0
26416,-9.6,59834.0
25684,-30.45,59102.0
2565,-5.61,29518.0
21690,12.66,55108.0
20868,5.62,54286.0
19162,-16.17,52580.0
27678,-11.41,61096.0
12947,0.02,45237.0
11429,-16.14,43132.0
14905,0.01,47562.0
8760,-0.02,37556.0
21877,-5.52,55295.0
21764,-36.77,55182.0
21544,7.47,54962.0
18775,19.17,52193.0
13229,7.83,45523.0
5655,-2.25,33718.0
14180,0.0,46502.0
2382,1.03,29335.0
30764,-21.6,64182.0
6144,0.0,34506.0
17957,15.05,51375.0
20532,5.49,53950.0
29289,-42.45,62707.0
11170,-0.01,42429.0
24229,-21.93,57647.0
24728,22.31,58146.0
16401,0.0,49710.0
4047,0.01,31950.0
6653,-0.37,35021.0
11826,3.77,44024.0
21964,7.51,55382.0
22279,5.55,55697.0
8897,-0.0,37695.0
8206,-0.02,36830.0
18717,-9.16,52135.0
15547,0.0,48804.0
24535,-9.57,57953.0
21927,-6.94,55345.0
16899,-0.01,50212.0
20661,-6.05,54079.0
4953,-0.01,32867.0
618,10.78,25992.0
27981,-15.42,61399.0
15906,-0.0,49170.0
16928,2.61,50239.0
22876,33.56,56294.0
28146,-27.0,61564.0
3155,0.0,30195.0
5266,-0.0,33180.0
20822,6.32,54240.0
13414,0.01,45711.0
7256,0.0,35850.0
30708,-15.76,64126.0
31217,-8.28,64635.0
10863,-4.53,41660.0
13176,5.65,45469.0
22759,-6.44,56177.0
5309,35.63,33371.0
30427,-29.3,63845.0
18986,-8.11,52404.0
6230,0.01,34596.0
21424,6.58,54842.0
25571,7.83,58989.0
6881,0.01,35249.0
23,0.0,25296.0
3123,-0.01,30163.0
27,0.0,25299.0
6963,-0.0,35537.0
8004,-0.25,36614.0
7902,-0.0,36512.0
764,4.33,26141.0
10224,-0.0,39869.0
20625,-5.23,54043.0
19339,-10.8,52757.0
19981,10.26,53399.0
25966,-5.44,59384.0
10341,-0.6,40659.0
10720,-5.96,41504.0
3684,0.01,30728.0
4651,0.0,32565.0
7973,-18.89,36583.0
29023,-29.41,62441.0
23861,-8.64,57279.0
31682,12.58,65100.0
10690,-10.16,41474.0
8705,-0.01,37500.0
2157,0.0,28964.0
20597,-6.95,54015.0
16145,-0.0,49409.0
7743,-0.68,36350.0
4704,-0.02,32619.0
19629,-11.07,53047.0
14202,-0.01,46523.0
29104,-40.74,62522.0
29714,-9.55,63132.0
8832,-0.01,37629.0
164,2.4,25436.0
3620,-8.03,30664.0
22006,5.56,55424.0
13747,-0.0,46055.0
20758,6.91,54176.0
15484,-0.01,48738.0
6565,-7.38,34933.0
30609,-25.26,64027.0
10324,-8.55,40642.0
2638,0.0,29591.0
8749,0.01,37544.0
1609,0.01,28264.0
31865,-10.42,65283.0
15463,-0.36,48718.0
31093,-8.23,64511.0
5953,-0.0,34314.0
5707,-3.63,33771.0
15185,0.46,47847.0
28254,-13.35,61672.0
28070,10.7,61488.0
17712,8.62,51130.0
5868,0.0,34229.0
14919,0.0,47576.0
23510,-7.33,56928.0
3332,-2.79,30373.0
24587,-8.73,58005.0
2590,-2.79,29543.0
5458,-5.23,33521.0
22214,9.88,55632.0
7512,23.05,36117.0
19580,20.21,52998.0
6323,0.0,34689.0
27087,36.97,60505.0
440,-9.77,25794.0
2715,0.16,29755.0
17365,-14.57,50783.0
26625,5.8,60043.0
30781,19.09,64199.0
7987,-6.38,36597.0
12069,-0.01,44275.0
15964,0.01,49228.0
8135,2.23,36749.0
16541,-0.02,49851.0
20475,30.48,53893.0
23716,15.26,57134.0
18724,12.59,52142.0
4008,-0.0,31910.0
10912,0.01,41709.0
10560,0.01,41344.0
13036,-0.01,45325.0
11733,9.13,43923.0
29227,-14.23,62645.0
22598,-17.86,56016.0
17085,1.61,50398.0
21633,-11.71,55051.0
13387,0.01,45683.0
7942,-24.2,36553.0
5548,0.18,33611.0
29294,32.76,62712.0
8271,0.01,36898.0
11623,0.79,43808.0
4908,0.0,32822.0
22865,-18.59,56283.0
2579,-4.03,29532.0
8893,0.01,37690.0
28056,12.3,61474.0
22151,-5.72,55569.0
28389,10.47,61807.0
16736,0.03,50047.0
21763,36.77,55181.0
6889,-0.0,35257.0
19760,-11.27,53178.0
13312,0.02,45608.0
26426,-7.98,59844.0
13702,-0.01,46007.0
9724,-14.38,39357.0
20588,5.28,54006.0
30145,8.54,63563.0
23767,-23.4,57185.0
28819,-30.5,62237.0
2645,0.01,29598.0
19321,-8.35,52739.0
353,0.01,25626.0
13473,-0.01,45770.0
3603,-5.96,30646.0
13822,4.74,46133.0
4219,-9.37,32122.0
15108,6.09,47768.0
6351,0.01,34717.0
22504,5.6,55922.0
11059,0.0,42317.0
16198,-0.01,49462.0
13926,1.04,46240.0
3522,-0.59,30566.0
7301,-7.51,35895.0
27260,-7.51,60678.0
10637,-9.5,41421.0
5430,-4.52,33493.0
28674,-8.15,62092.0
22251,12.53,55669.0
20455,36.46,53873.0
3048,-0.01,30088.0
24668,5.43,58086.0
23192,-11.04,56610.0
29659,14.26,63077.0
20155,-22.01,53573.0
19029,-30.96,52447.0
1153,0.01,27358.0
7422,-6.06,36016.0
20776,6.06,54194.0
17865,9.72,51283.0
31904,8.12,65322.0
3406,-5.18,30450.0
3108,0.0,30148.0
19811,13.22,53229.0
16414,0.0,49723.0
14565,0.01,47215.0
5428,-5.69,33491.0
5650,-4.81,33714.0
12369,28.61,44646.0
24043,-6.07,57461.0
8756,0.01,37552.0
29936,-30.47,63354.0
9164,5.81,37962.0
7022,-0.01,35598.0
11103,0.0,42362.0
4509,-5.46,32423.0
21981,-5.71,55399.0
28192,-8.63,61610.0
10555,-0.01,41339.0
20397,-9.91,53815.0
13742,-0.0,46049.0
12952,0.01,45242.0
30674,8.52,64092.0
12585,-0.01,44865.0
28952,-9.44,62370.0
21728,-5.12,55146.0
11835,3.81,44033.0
27942,25.41,61360.0
24558,10.03,57976.0
31321,-13.08,64739.0
26280,-64.79,59698.0
9601,-0.02,38978.0
6556,-5.28,34924.0
29547,24.08,62965.0
27894,9.53,61312.0
2332,-7.96,29284.0
26706,-33.24,60124.0
13578,25.42,45876.0
11657,-0.01,43845.0
23451,7.27,56869.0
9394,-0.0,38203.0
31459,-9.07,64877.0
23010,-14.23,56428.0
943,-0.05,26436.0
30513,-9.42,63931.0
31564,16.17,64982.0
27065,29.29,60483.0
1841,-0.01,28645.0
2273,-5.08,29226.0
8732,-0.01,37529.0
13805,7.05,46117.0
24355,-19.53,57773.0
3363,-2.75,30405.0
9746,-4.68,39379.0
12518,0.0,44797.0
17024,6.03,50337.0
9848,-1.38,39480.0
11411,-0.1,43114.0
25394,24.31,58812.0
10400,0.0,40718.0
11509,-0.05,43212.0
27986,12.71,61404.0
28031,-12.29,61449.0
31642,-28.0,65060.0
9218,5.41,38016.0
12408,-0.03,44684.0
888,53.48,26381.0
29406,10.91,62824.0
19705,16.35,53123.0
1539,-0.01,28193.0
2285,-5.05,29238.0
8125,4.28,36739.0
11951,-0.01,44154.0
1487,0.26,27693.0
30060,-19.77,63478.0
9616,0.0,38993.0
24012,6.24,57430.0
1301,2.94,27507.0
8102,37.61,36716.0
25070,-9.79,58488.0
11293,0.01,42747.0
16544,-0.02,49854.0
5541,-0.11,33604.0
20140,14.42,53558.0
6304,-0.0,34670.0
18206,20.13,51624.0
15999,0.01,49263.0
1495,0.0,28149.0
9094,0.0,37891.0
3293,-3.01,30335.0
14690,8.61,47342.0
11379,-0.02,42833.0
14569,-0.01,47218.0
6269,-0.02,34635.0
19845,11.96,53263.0
8982,0.01,37778.0
27788,13.76,61206.0
28247,10.72,61665.0
29131,21.83,62549.0
3523,-0.51,30567.0
12090,-0.01,44295.0
23086,-32.76,56504.0
4829,-0.02,32743.0
16408,0.01,49717.0
22209,-5.42,55627.0
20339,-11.62,53757.0
12710,1.67,44994.0
4490,-5.74,32404.0
31376,27.52,64794.0
388,-14.29,25741.0
22977,43.92,56395.0
21745,26.9,55163.0
6392,-0.43,34758.0
19216,-8.98,52634.0
26733,8.04,60151.0
29648,-14.38,63066.0
24196,9.18,57614.0
28200,-8.7,61618.0
23116,-7.9,56534.0
14976,0.02,47634.0
4105,-0.0,32008.0
5413,-5.21,33476.0
2444,0.08,29397.0
30766,-21.6,64184.0
23646,25.47,57064.0
12333,-0.03,44608.0
29523,23.76,62941.0
29093,35.65,62511.0
20138,15.88,53556.0
26911,7.72,60329.0
22049,-6.4,55467.0
12396,-0.05,44673.0
10419,-1.32,41202.0
1015,-0.05,27220.0
31878,8.08,65296.0
